feature_1,feature_2,spearman_rho
file_size_bytes,file_size_bytes,1.0
brightness,file_size_bytes,0.08764395514939467
contrast,file_size_bytes,0.0040089512115718895
edge_strength,file_size_bytes,-0.13097686491677002
near_white_fraction,file_size_bytes,0.17886134442161364
file_size_bytes,brightness,0.08764395514939467
brightness,brightness,1.0
contrast,brightness,-0.8617457389813952
edge_strength,brightness,-0.729273443251519
near_white_fraction,brightness,0.7916548628292231
file_size_bytes,contrast,0.0040089512115718895
brightness,contrast,-0.8617457389813952
contrast,contrast,1.0
edge_strength,contrast,0.5306143579378618
near_white_fraction,contrast,-0.44511411136530193
file_size_bytes,edge_strength,-0.13097686491677002
brightness,edge_strength,-0.729273443251519
contrast,edge_strength,0.5306143579378618
edge_strength,edge_strength,1.0
near_white_fraction,edge_strength,-0.7796957918751143
file_size_bytes,near_white_fraction,0.17886134442161364
brightness,near_white_fraction,0.7916548628292231
contrast,near_white_fraction,-0.44511411136530193
edge_strength,near_white_fraction,-0.7796957918751143
near_white_fraction,near_white_fraction,1.0
